,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,mpg
0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,18.0
1,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,15.0
2,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,18.0
3,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,16.0
4,8,302.0,140.0,3449.0,10.5,70,1,ford torino,17.0
5,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,15.0
6,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala,14.0
7,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii,14.0
8,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina,14.0
9,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,15.0
10,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,15.0
11,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340,14.0
12,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,15.0
13,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw),14.0
14,4,113.0,95.00,2372.0,15.0,70,3,toyota corona mark ii,24.0
15,6,198.0,95.00,2833.0,15.5,70,1,plymouth duster,22.0
16,6,199.0,97.00,2774.0,15.5,70,1,amc hornet,18.0
17,6,200.0,85.00,2587.0,16.0,70,1,ford maverick,21.0
18,4,97.0,88.00,2130.0,14.5,70,3,datsun pl510,27.0
19,4,97.0,46.00,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,26.0
20,4,110.0,87.00,2672.0,17.5,70,2,peugeot 504,25.0
21,4,107.0,90.00,2430.0,14.5,70,2,audi 100 ls,24.0
22,4,104.0,95.00,2375.0,17.5,70,2,saab 99e,25.0
23,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002,26.0
24,6,199.0,90.00,2648.0,15.0,70,1,amc gremlin,21.0
25,8,360.0,215.0,4615.0,14.0,70,1,ford f250,10.0
26,8,307.0,200.0,4376.0,15.0,70,1,chevy c20,10.0
27,8,318.0,210.0,4382.0,13.5,70,1,dodge d200,11.0
